Name,Question_count,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11
Dan Gable,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Age over 60?,Dead?,,
Chris Hoy,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Play Target sports?,Married?,
Sun Yang,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Swimmer?,Australian?,
Ryan Lochte,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,Figure Skating?
Scott Hamilton,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Play Physical sports?,Female?,Track and Field?,
Yuzuru Hanyu,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Swimmer?,Track and Field?,
Nathan Chen,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,Figure Skating?
Karch Kiraly,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Play Physical sports?,Play Team sports?,Play Basketball?,
Yang Haoran,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Play Target sports?,Married?,
William Shaner,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,
Hillary Clinton,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Married?,Democrat?,
Nancy Pelosi,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Service in Gov over 20yrs?,,
Alexandria Ocasio-Cortez,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Republican?,Age over 50?,
Michelle Obama,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Female?,Been Congresswoman?,,
Shirley Chisholm,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Politics?,Been Congresswoman?,
Barbara Jordan,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Democrat?,Law?,
Rosa Parks,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Politics?,Republican?,
Eleanor Roosevelt,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Married?,Been Senator?
Sarah Palin,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Republican?,,
Nancy Reagan,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Politics?,Republican?,
Ilhan Omar,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Female?,Been Congresswoman?,,
Amy Klobuchar,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Female?,Democrat?,Been Senator?,
Tulsi Gabbard,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Female?,Been Congresswoman?,,
Susan Collins,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Politics?,Democrat?,,
Lisa Murkowski,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Female?,Democrat?,,
Mary McLeod Bethune,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Married?,
Helen Keller,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Married?,
Frances Perkins,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Married?,
Janet Napolitano,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Politics?,Democrat?,,
Linda Sánchez,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Republican?,Age over 50?,
Linda McMahon,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Democrat?,Dead?,
Helle Thorning-Schmidt,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,British?,
Ellen Johnson Sirleaf,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Been President?,,
Aung San Suu Kyi,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Been President?,Democrat?,
Michelle Bachelet,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Been President?,
Judy Smith,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Military?,Medical and Research?,
Loretta Lynch,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Politics?,Democrat?,,
Park Geun-hye,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Married?,
Theresa May,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,British?,
Erna Solberg,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Australian?,Service in Gov over 20yrs?
Beata Szydło,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Australian?,Service in Gov over 20yrs?
Kamala Harris,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Female?,Been Congresswoman?,,
Condoleezza Rice,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Service in Gov over 30yrs?,Political Party?,,
Jacinda Ardern,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Other Political Party?,British?,
Madeleine Albright,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Politics?,Been Congresswoman?,
Emmeline Pankhurst,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Service in Industry over 40yrs?,Lawyer?,
Queen Elizabeth II,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,
Peng Liyuan,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Been President?,
Margaret Thatcher,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,Age Over 80?,Service in Gov over 30yrs?,
Liz Truss,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Other Political Party?,British?,
Hattie Caraway,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Married?,Been Senator?
Julia Gillard,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Australian?,
Laura Chinchilla,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Been Prime Minister?,Graduate level Education?,Married?,
Tarja Halonen,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Been President?,,
George Washington,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Age over 60?,Birth before 1800?,,
Abraham Lincoln,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Age over 60?,Birth before 1800?,Low Education?,
Thomas Jefferson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Republican?,
Franklin D. Roosevelt,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Service in Gov over 20yrs?,College level Education?,,
John F. Kennedy,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Age over 60?,Lawyer?,
Ronald Reagan,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Republican?,Graduate level Education?,
Barack Obama,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Female?,Democrat?,Been President?,
Bill Clinton,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Democrat?,College level Education?,
George W. Bush,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Democrat?,Graduate level Education?,
Donald Trump,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Democrat?,Graduate level Education?,
Joe Biden,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,College level Education?,
Benjamin Franklin,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,Republican?,
Alexander Hamilton,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Age over 60?,Birth before 1800?,,
Andrew Jackson,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Democrat?,Female?,,
Theodore Roosevelt,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Age over 60?,Birth before 1800?,,
John Adams,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Birth before 1800?,Been President?,
Richard Nixon,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Republican?,Graduate level Education?,
Jimmy Carter,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Law?,
Woodrow Wilson,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Service in Gov over 20yrs?,College level Education?,,
Ulysses S. Grant,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Age over 60?,Birth before 1800?,,
Andrew Johnson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Service in Gov over 20yrs?,Birth before 1800?,Age over 50?,
Chester A. Arthur,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Age over 60?,Birth before 1800?,Low Education?,
Franklin Pierce,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Service in Gov over 20yrs?,College level Education?,,
Samuel Adams,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Army?,Birth before 1800?,Age Over 80?
John Jay,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Birth before 1800?,Been President?,
Henry Clay,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Army?,Birth before 1800?,Age Over 80?
John C. Calhoun,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Service in Gov over 20yrs?,Birth before 1800?,,
Stephen A. Douglas,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Democrat?,Service in Gov over 20yrs?,Birth before 1800?,Age over 50?,
John Kerry,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,College level Education?,
Al Gore,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Democrat?,College level Education?,
Bernie Sanders,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Republican?,Dead?,
Marco Rubio,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Female?,Democrat?,,
Nelson Mandela,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Play Rock music?,Low Education?,Democrat?
Mao Zedong,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Service in Gov over 30yrs?,,
Jiang Zemin,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,British?,Service in Industry over 40yrs?,Other Political Party?
Vladimir Putin,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Age Over 70?,Chinese?,
Benito Mussolini,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Low Education?,Married?,
Winston Churchill,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Service in Gov over 30yrs?,British?,
Nikita Khrushchev,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Self study?,Other Political Party?,
Adolf Hitler,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Low Education?,Married?,
Genghis Khan,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,Service in Gov over 30yrs?,Army?,
David Cameron,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Graduate level Education?,British?,
Napoleon Bonaparte,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,British?,Service in Industry over 30yrs?,
Jawaharlal Nehru,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Service in Gov over 30yrs?,British?,
Vladimir Lenin,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Low Education?,Economist?,
Angela Merkel,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Age Over 70?,Service in Gov over 30yrs?,Married?
Xi Jinping,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Age Over 70?,Chinese?,
Emmanuel Macron,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Other Political Party?,Low Education?,
Justin Trudeau,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Graduate level Education?,British?,
Boris Johnson,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Graduate level Education?,British?,
Shinzō Abe,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Age Over 70?,Service in Gov over 30yrs?,
Scott Morrison,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Graduate level Education?,Australian?,
Jair Bolsonaro,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Age Over 70?,Service in Gov over 30yrs?,Married?
Kim Jong-un,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Other Political Party?,Low Education?,
Sandra Day O’Connor,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,,
Sonia Sotomayor,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Politics?,Lawyer?,,
Elena Kagan,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Politics?,Lawyer?,,
Janet Reno,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Age over 60?,Married?,
Harriet Tubman,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Other Political Party?,Female?,
Sojourner Truth,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Born between 1800-1900?,Law?,
Dorothy Height,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Politics?,Married?,
Coretta Scott King,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Democrat?,Law?,
Margaret Sanger,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Other Political Party?,Female?,
Betty Friedan,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Politics?,Married?,Service in Gov over 20yrs?
Gloria Steinem,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Service in Gov over 20yrs?,Lawyer?,
Angela Davis,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Married?,Service in Gov over 20yrs?,
Bella Abzug,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Age over 60?,Married?,
Florence Ellinwood Allen,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Female?,
Conchita Carpio-Morales,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,Lawyer?
Cornelia Sorabji,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Service in Industry over 40yrs?,Lawyer?,
Margaret Marshall,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Been President?,Democrat?,
Belva Lockwood,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Born between 1800-1900?,Military?,
Maria Lourdes Sereno,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Finance?,Biology and Chemistry?,
Shirin Ebadi,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,Lawyer?
Mary Stallings Coleman,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Married?,Democrat?,
Charlotte E. Ray,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Married?,Lawyer?,
Gloria Allred,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Service in Gov over 20yrs?,Lawyer?,
Ruth Bader Ginsberg,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Dead?,Politics?,Married?,Service in Gov over 20yrs?
Anita Hill,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Politics?,Lawyer?,,
Marcia Clark,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Female?,Democrat?,Been Senator?,
John Marshall,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Birth before 1800?,
Oliver Wendell Holmes Jr.,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Birth before 1800?,
Earl Warren,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Other Political Party?,Female?,
Thurgood Marshall,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Service in Gov over 30yrs?,
John Roberts,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Female?,Democrat?,,
Benjamin Cardozo,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Democrat?,,
Louis Brandeis,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Birth before 1800?,Age Over 80?
Felix Frankfurter,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Army?,Political Party?,
Warren Burger,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Service in Gov over 20yrs?,,
William Brennan,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Play Rock music?,Low Education?,Democrat?
Harry Blackmun,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Service in Gov over 20yrs?,Dead?,
Anthony Kennedy,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Service in Gov over 20yrs?,Dead?,
Byron White,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Service in Gov over 30yrs?,
Hugo Black,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Female?,
Potter Stewart,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Age over 60?,Democrat?,
Lewis Powell,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Service in Gov over 20yrs?,,
Roger B. Taney,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Birth before 1800?,
Salmon P. Chase,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Democrat?,Married?,
Benjamin N. Cardozo,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Democrat?,,
William O. Douglas,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Female?,
Charles Evans Hughes,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Other Political Party?,Female?,
John Rutledge,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Born between 1800-1900?,Graduate level Education?,
Samuel Chase,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Other Political Party?,Female?,Birth before 1800?
Joseph Story,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Born between 1800-1900?,Graduate level Education?,Service in Gov over 20yrs?
